id,s1,s2,s3,s4,s5,w1,w2,w3,w4,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15

110556,0,1,0,0,0,1,0,0,0 , 0.02,0.1,0.01,0.12,0.04,0.0,0.28,0.0,0.08,0,0.04,0.15,0.15,0.02,0.05
89370,0,0,0,0,1,0,0,0,1 , 0.02,0.1,0.01,0.12,0.04,0.0,0.28,0.0,0.08,0.453,0.04,0.15,0.15,0.02,0.05
89371,0,0,0,0,1,0,0,0,1 , 0.02,0.1,0.01,0.12,0.04,0.0,0.28,0.0,0.08,0,0.04,0.15,0.15,0.02,0.05
11541,0,0,1,0,0,1,0,0,0 , 0.02,0.1,0.01,0.12,0.04,0.0,0.28,0.0,0.08,0.11,0.04,0.15,0.15,0.02,0.05
89374,0,0,0,0,1,1,0,0,0 , 0.02,0.1,0.01,0.12,0.04,0.0,0.28,0.0,0.08,0,0.04,0.15,0.15,0.02,0.05
89377,0,0,1,0,0,1,0,0,0 , 0.02,0.1,0.01,0.12,0.04,0.0,0.28,0.0,0.08,0,0.04,0.15,0.15,0.02,0.05
89378,0,1,0,0,0,1,0,0,0 , 0.02,0.1,0.01,0.12,0.04,0.0,0.28,0.0,0.08,0,0.04,0.15,0.15,0.02,0.05
19399,0,1,0,0,0,1,0,0,0 , 0.02,0.1,0.01,0.12,0.04,0.0,0.28,0.0,0.08,0,0.04,0.15,0.15,0.02,0.05
19398,0,0,1,0,0,0,0,0,1 , 0.02,0.1,0.01,0.12,0.04,0.0,0.28,0.0,0.08,0,0.04,0.15,0.15,0.02,0.05
116666,0,0,0,1,0,1,0,0,0 , 0.02,0.1,0.01,0.12,0.04,0.0,0.28,0.0,0.08,0,0.04,0.15,0.15,0.02,0.05
19395,0,0,0,1,0,1,0,0,0 , 0.02,0.1,0.01,0.12,0.04,0.0,0.28,0.0,0.08,0,0.04,0.15,0.15,0.02,0.05
19392,0,1,0,0,0,1,0,0,0 , 0.02,0.1,0.01,0.12,0.04,0.0,0.28,0.0,0.08,0,0.04,0.15,0.15,0.02,0.05
