inst#,actual,predicted,error
1,?,?,?
1,?,?,?
1,?,0.08,?
1,?,?,?
1,?,0.08,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,0.067,?
1,?,0.08,?
1,?,0.08,?
1,?,0.602,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,1,?
1,?,?,?
1,?,0.062,?
1,?,?,?
1,?,0.08,?
1,?,?,?
1,?,0.08,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,0.2,?
1,?,0.073,?
1,?,0.08,?
1,?,?,?
1,?,0.08,?
1,?,0.067,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,1,?
1,?,0.057,?
1,?,0.101,?
1,?,0.08,?
1,?,0.08,?
1,?,0.031,?
1,?,?,?
1,?,0.08,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,0.08,?
1,?,?,?
1,?,0.293,?
1,?,?,?
1,?,?,?
1,?,0.073,?
1,?,?,?
1,?,0.047,?
1,?,?,?
1,?,0.2,?
1,?,0.799,?
1,?,?,?
1,?,0.073,?
1,?,0.08,?
1,?,0.05,?
1,?,?,?
1,?,0.064,?
1,?,0.08,?
1,?,?,?
1,?,0.05,?
1,?,0.08,?
1,?,0.067,?
1,?,0.05,?
1,?,0.062,?
1,?,?,?
1,?,0.08,?
1,?,0.2,?
1,?,0.022,?
1,?,?,?
1,?,?,?
1,?,0.143,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,0.08,?
1,?,?,?
1,?,?,?
1,?,0.08,?
1,?,?,?
1,?,0.2,?
1,?,0.08,?
1,?,0.08,?
1,?,0.5,?
1,?,0.08,?
1,?,0.08,?
1,?,0.038,?
1,?,0.08,?
1,?,0.08,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,0.08,?
1,?,0.08,?
1,?,?,?
1,?,?,?
1,?,0.029,?
1,?,0.067,?
1,?,0.143,?
1,?,0.093,?
1,?,0.08,?
1,?,0.08,?
1,?,0.333,?
1,?,?,?
1,?,0.067,?
1,?,?,?
1,?,0.062,?
1,?,0.078,?
1,?,0.08,?
1,?,0.5,?
1,?,?,?
1,?,0.08,?
1,?,?,?
1,?,0.08,?
1,?,0.08,?
1,?,0.08,?
1,?,?,?
1,?,0.029,?
1,?,?,?
1,?,0.073,?
1,?,0.15,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,0.067,?
1,?,0.093,?
1,?,?,?
1,?,?,?
1,?,0.054,?
1,?,?,?
1,?,?,?
1,?,0.167,?
1,?,?,?
1,?,0.167,?
1,?,0.073,?
1,?,0.08,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,0.08,?
1,?,0.907,?
1,?,?,?
1,?,0.08,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,0.073,?
1,?,0.08,?
1,?,?,?
1,?,0.08,?
1,?,0.08,?
1,?,?,?
1,?,?,?
1,?,0.125,?
1,?,0.08,?
1,?,?,?
