inst#,actual,predicted,error
1,?,0.25,?
1,?,0.146,?
1,?,0.03,?
1,?,0.127,?
1,?,0.263,?
1,?,0.138,?
1,?,0.089,?
1,?,0.365,?
1,?,0.151,?
1,?,0.362,?
1,?,0.26,?
1,?,0.077,?
1,?,0.26,?
1,?,0.262,?
1,?,0.211,?
1,?,0.268,?
1,?,0.175,?
1,?,0.222,?
1,?,0,?
1,?,0.057,?
1,?,0.168,?
1,?,0.259,?
1,?,0.169,?
1,?,0.252,?
1,?,0.288,?
1,?,0.274,?
1,?,0.323,?
1,?,0.047,?
1,?,0.006,?
1,?,0.179,?
1,?,0.286,?
1,?,0.223,?
1,?,0.279,?
1,?,0.288,?
1,?,0.159,?
1,?,0.373,?
1,?,0.386,?
1,?,0.082,?
1,?,0.027,?
1,?,0.132,?
1,?,0.208,?
1,?,0.192,?
1,?,0.22,?
1,?,0.163,?
1,?,0.202,?
1,?,0.027,?
1,?,0.299,?
1,?,0.286,?
1,?,0.008,?
1,?,0.266,?
1,?,0.062,?
1,?,0.171,?
1,?,0.178,?
1,?,0.02,?
1,?,0.177,?
1,?,0.146,?
1,?,0.309,?
1,?,0.449,?
1,?,0.26,?
1,?,0.123,?
1,?,0.144,?
1,?,0.045,?
1,?,0.288,?
1,?,0.157,?
1,?,0.278,?
1,?,0.179,?
1,?,0.04,?
1,?,0.15,?
1,?,0.26,?
1,?,0.246,?
1,?,0.22,?
1,?,0.214,?
1,?,0.04,?
1,?,0.158,?
1,?,0.277,?
1,?,0.171,?
1,?,0.211,?
1,?,0.178,?
1,?,0.377,?
1,?,0.413,?
1,?,0.01,?
1,?,0.166,?
1,?,0.282,?
1,?,0.2,?
1,?,0.119,?
1,?,0.167,?
1,?,0.24,?
1,?,0.225,?
1,?,0.212,?
1,?,0.288,?
1,?,0.226,?
1,?,0,?
1,?,0.281,?
1,?,0.123,?
1,?,0.221,?
1,?,0,?
1,?,0.187,?
1,?,0.027,?
1,?,0.18,?
1,?,0.065,?
1,?,0.365,?
1,?,0.007,?
1,?,0.144,?
1,?,0.152,?
1,?,0.386,?
1,?,0.808,?
1,?,0.534,?
1,?,0.214,?
1,?,0.358,?
1,?,0.179,?
1,?,0.144,?
1,?,0.225,?
1,?,0.02,?
1,?,0.223,?
1,?,0.275,?
1,?,0.103,?
1,?,0.139,?
1,?,0.317,?
1,?,0.173,?
1,?,0.204,?
1,?,0.288,?
1,?,0.288,?
1,?,0.324,?
1,?,0.21,?
1,?,0.288,?
1,?,0.044,?
1,?,0.237,?
1,?,0.108,?
1,?,0.327,?
1,?,0.027,?
1,?,0.213,?
1,?,0.195,?
1,?,0.191,?
1,?,0.096,?
1,?,0.243,?
1,?,0.217,?
1,?,0.279,?
1,?,0.188,?
1,?,0.143,?
1,?,0.27,?
1,?,0.217,?
1,?,0.254,?
1,?,0,?
1,?,0.192,?
1,?,0.191,?
1,?,0.282,?
1,?,0.047,?
1,?,0.288,?
1,?,0.262,?
1,?,0.313,?
1,?,0.219,?
1,?,0.271,?
1,?,0.26,?
1,?,0.168,?
1,?,0.178,?
1,?,0.253,?
1,?,0.199,?
